id,group,site,mound,grave,name,raion,oblast,latitude,longitude,interment,sex,age,grave_type,shaft,gangway,steps,dromos,entrance_screen,boards,organic_lining,body_position,leg_position,ochre,charcoal,chalk,fire,mask,tar,animal_bones,axe_hammer,macehead,arrowhead,spearhead,bow,bronze_knife,bola,wooden_javelin,polishing_plate,arrow_straightener,awl,grindstone,scraper,punch,hammerstone,perforator,casting_mould,tuyere,digging_tool,adze,melting_pot,flint_knife,wooden_cup,wooden_bowl,pottery,body_ornament
42,Budzhak,Talmaz,3,15,Talmaz 3/15,Shtefan Vode,Moldova,46.64,29.66,single,NA,NA,pit with niche,t rectangular,absent,present,present,absent,absent,present,supine,bent,absent,present,absent,absent,present,present,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
43,Budzhak,Talmaz,3,16,Talmaz 3/16,Shtefan Vode,Moldova,46.64,29.66,single,NA,NA,pit with niche,h elliptical,absent,absent,present,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
44,Budzhak,Trapovka,1,7,Trapovka 1/7,Tatarbunary,Odessa,45.8,29.7,single,NA,juvenile,pit with niche,t elliptical,absent,present,present,absent,absent,absent,supine,extended,absent,present,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
45,Budzhak,Trapovka,1,13,Trapovka 1/13,Tatarbunary,Odessa,45.8,29.7,single,NA,juvenile,pit with niche,t elliptical,absent,present,present,absent,absent,present,NA,NA,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
46,Budzhak,Trapovka,1,14,Trapovka 1/14,Tatarbunary,Odessa,45.8,29.7,single,NA,NA,NA,NA,absent,absent,absent,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
47,Budzhak,Trapovka,1,17,Trapovka 1/17,Tatarbunary,Odessa,45.8,29.7,single,male,adult,pit with niche,t rectangular,absent,absent,present,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
48,Budzhak,Trapovka,1,18,Trapovka 1/18,Tatarbunary,Odessa,45.8,29.7,single,male,adult,NA,NA,absent,absent,absent,absent,absent,absent,supine,bent,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
49,Budzhak,Trapovka,4,14,Trapovka 4/14,Tatarbunary,Odessa,45.8,29.7,single,NA,NA,NA,NA,absent,absent,absent,absent,absent,absent,supine,extended,present,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
50,Budzhak,Trapovka,6,11,Trapovka 6/11,Tatarbunary,Odessa,45.8,29.7,single,male,adult,pit with niche,h elliptical,absent,present,present,absent,absent,present,NA,NA,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
51,Budzhak,Trapovka,6,13,Trapovka 6/13,Tatarbunary,Odessa,45.8,29.7,single,NA,adult,pit with niche,circular,absent,present,absent,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
